,support_tick_id,support_ticket_text,category,tags,priority,suggested ETA,first_response
0,ST2023-006,"My internet connection has significantly slowed down over the past two days, making it challenging to work efficiently from home. Frequent disconnections are causing major disruptions. Please assist in resolving this connectivity issue promptly.",Network Issue,Internet Connectivity,High,2 Hours,Thank you for contacting us regarding your internet connectivity issue. Please note that your complaints have been forwarded to our technical team from prompt resolution.
1,ST2023-007,"Urgent help required! My laptop refuses to start, and I have a crucial presentation scheduled for tomorrow. I've attempted a restart, but it hasn't worked. Please provide immediate assistance to resolve this hardware issue",Technical Issue,Laptop Issue,High,1 Hours,"Thank you for contacting us regarding your laptop issue. Please try removing and re-insering the battery again before starting the laptop. However, a member of our technical team will reach out to you shortly to assist you properly."
2,ST2023-008,"I've accidentally deleted essential work documents, causing substantial data loss. I understand the need to avoid further actions on my device. Can you please prioritize the data recovery process and guide me through it?",Data Recovery,File Loss,High,2 Hours,"Thank you for contacting us regarding your file loss issue. We apologize for the inconvenience this has caused and are committed to helping you recover your essential work documents. Our technical team will guide you through the data recovery process, and we estimate a resolution time of 2 hours."
3,ST2023-009,"Despite being in close proximity to my Wi-Fi router, the signal remains persistently weak in my home. This issue has been ongoing, and I need assistance troubleshooting it. Please help me resolve the weak Wi-Fi signal problem.",Network Issue,Wi-Fi Signal Weakness,Normal,4 Hours,Thank you for contacting us regarding your weak Wi-Fi signal issue. We apologize for the inconvenience this is causing and are happy to assist you in troubleshooting the problem. Our technical team will be in touch with you shortly to discuss possible solutions.
4,ST2023-010,"My smartphone battery is draining rapidly, even with minimal use. Can you help me identify and rectify this battery issue?",Battery Issue,Smartphone Battery Drain,Normal,6 Hours,Thank you for contacting us regarding your smartphone battery drain issue. We apologize for any inconvenience this has caused and are here to assist you. Our technical team will review the issue and provide a solution as soon as possible.
5,ST2023-011,I'm locked out of my online banking account and need immediate assistance in resetting my password for an urgent transaction.,Account Issue,Password Reset,High,1 Hour,Thank you for contacting us regarding your account lockout. We apologize for the inconvenience this has caused and are here to assist you in resetting your password. Our technical team will work promptly to resolve this issue and ensure you can complete your urgent transaction.
6,ST2023-012,"My computer's performance is sluggish, severely impacting my work. I need help optimizing it to regain productivity.",Performance Issue,Computer Performance,Normal,4 Hours,"Thank you for contacting us regarding your computer performance issue. We apologize for the inconvenience this is causing and are here to help. Our technical team will review your system and provide recommendations to optimize its performance, which may take up to 4 hours to resolve."
7,ST2023-013,"I'm experiencing a recurring blue screen error on my PC, causing frequent crashes. Help me diagnose and resolve this hardware issue.",Technical Issue,Blue Screen Error,High,2 Hours,Thank you for contacting us regarding your blue screen error. Please try running a virus scan and checking for any driver updates to rule out software-related issues. A member of our technical team will reach out to you shortly to assist you further.
8,ST2023-014,My external hard drive isn't being recognized by my computer. I need assistance recovering vital data stored on it.,Data Recovery,External Hard Drive,High,2 Hours,Thank you for contacting us regarding your external hard drive issue. We apologize for any inconvenience this has caused and are committed to helping you recover your vital data. Our technical team will be in touch with you shortly to assist you further.
9,ST2023-015,"The graphics card in my gaming laptop seems to be malfunctioning, causing poor gaming performance. Can you assist in diagnosing and fixing this hardware issue?",Hardware Issue,Graphics Card Problem,High,2 Hours,Thank you for contacting us regarding your graphics card issue. Our technical team will be happy to assist you in diagnosing and resolving this hardware problem. We will escalate your case immediately and provide a more detailed resolution plan shortly.
10,ST2023-016,I accidentally formatted my USB drive with critical work files. Can you guide me through the data recovery process to retrieve these files?,Data Recovery,USB Drive Corruption,Normal,6 Hours,"Thank you for contacting us regarding your USB drive corruption issue. We apologize for any inconvenience this has caused and are happy to assist you in recovering your critical work files. Our technical team will guide you through the data recovery process, which may involve using specialized software or hardware. Please confirm if you would like us to proceed with the recovery process."
11,ST2023-017,"My computer's screen has gone black, and I can't seem to fix it. Urgent assistance needed to get it up and running.",Technical Issue,Screen Failure,High,2 Hours,Thank you for contacting us regarding your screen issue. Please note that your complaints have been forwarded to our technical team from prompt resolution.
12,ST2023-018,"I accidentally spilled water on my laptop, and it won't turn on. Can you help me assess the damage and recover my data?",Hardware Issue,Laptop Water Damage,High,2 Hours,Thank you for contacting us regarding your laptop issue. We apologize for the inconvenience caused by the water spill. Our technical team will assess the damage and provide guidance on data recovery options. Please be assured that we will do our best to recover your data as soon as possible.
13,ST2023-019,"My USB flash drive is physically damaged, and I need assistance in recovering critical files from it.",Data Recovery,File Detection,High,2 Hours,Thank you for contacting us regarding your file recovery issue. Please note that our technical team will work diligently to recover your critical files from the damaged USB flash drive. We apologize for any inconvenience this may cause and appreciate your patience as we proceed with the recovery process.
14,ST2023-020,"The touchpad on my laptop has stopped working, making it difficult to use. Can you help me troubleshoot this hardware issue?",Hardware Issue,Touchpad Problem,Normal,4 Hours,Thank you for contacting us regarding your touchpad issue. We apologize for any inconvenience this has caused and are happy to assist you in troubleshooting the problem. Our technical team will review your case and provide a more detailed resolution plan shortly.
15,ST2023-021,"My internet connection is frequently dropping, affecting my work. Urgent help needed.",Network Issue,Internet Connectivity,High,1 Hour,Thank you for contacting us regarding your internet connectivity issue. Please note that your complaints have been forwarded to our technical team from prompt resolution.
16,ST2023-022,Wi-Fi is inconsistent despite proximity to the router. This is affecting my work. Help needed.,Network Issue,Wi-Fi Connectivity,High,2 Hours,Thank you for contacting us regarding your Wi-Fi connectivity issue. Please note that your complaints have been forwarded to our technical team from prompt resolution.
17,ST2023-023,I accidentally formatted my USB drive with crucial files. Help needed for data recovery.,Data Recovery,USB Drive Corruption,High,2 Hours,Thank you for contacting us regarding your USB drive corruption issue. Please note that our technical team will do their best to recover the data from the formatted drive. We will escalate this matter immediately and provide an update on the status of the recovery process.
18,ST2023-024,"My external hard drive isn't being recognized, and I need assistance recovering vital data.",Data Recovery,External Hard Drive,High,2 Hours,Thank you for contacting us regarding your external hard drive issue. Please note that your complaints have been forwarded to our technical team from prompt resolution.
19,ST2023-025,"I am experiencing a critical problem with my internet connection over the past 24 hours. My internet speed has significantly slowed down, and I'm encountering frequent disconnections. This has made it nearly impossible for me to work from home effectively. I have tried restarting my router, but the issue persists.I rely heavily on a stable internet connection for my job, and this problem is causing substantial productivity loss. It's imperative to have this issue resolved promptly. I would greatly appreciate your urgent assistance in diagnosing and resolving this connectivity problem.I rely heavily on a stable internet connection for my job, and this problem is causing substantial productivity loss. It's imperative to have this issue resolved promptly. I would greatly appreciate your urgent assistance in diagnosing and resolving this connectivity problem.",Network Issue,Internet Connectivity,High,2 Hours,Thank you for contacting us regarding your internet connectivity issue. Please note that your complaints have been forwarded to our technical team from prompt resolution.
20,ST2023-026,"I hope this message finds you well. I am writing to report a perplexing issue I've encountered with my work computer in recent days. 
The problem seems to involve a combination of unusual software behavior and unexpected data loss.
Over the past week, I've observed that certain software applications on my computer have been 
behaving erratically. For example, some applications freeze randomly, while others exhibit unexplained crashes. Additionally, 
I've noticed that some files and documents that were previously saved on my desktop have mysteriously 
disappeared. These issues are causing significant disruptions to my daily tasks and workflow.
While I don't have specific instructions on how to resolve this complex problem,
I suspect there may be an underlying issue with the system or software compatibility. 
I kindly request your expertise and assistance in thoroughly diagnosing this intricate problem. 
Your insights and guidance would be greatly appreciated. If you require any additional information 
or access to my computer for remote diagnostics, please do not hesitate to let me know.
I understand that this issue may require some time and effort to address, and I am fully prepared 
to cooperate and provide any necessary information to facilitate the resolution process. Thank you in advance for your attention to this matter, and I look forward to your response.",Technical Issue,Software Behavior,Normal,6 Hours,Thank you for contacting us regarding your technical issue. We apologize for any inconvenience this has caused and appreciate the detailed information provided. Our technical team will review your case and respond with a diagnosis and recommended steps to resolve the issue as soon as possible.
